gene_id	gene	product
I6J55_RS00235		sigma-70 family RNA polymerase sigma factor
I6J55_RS00240		hypothetical protein
I6J55_RS00245		fragipain
I6J55_RS00250		PepSY-like domain-containing protein
I6J55_RS00255		PepSY-like domain-containing protein
I6J55_RS00260		sensor histidine kinase
I6J55_RS00265		response regulator transcription factor
I6J55_RS00270	nagA	N-acetylglucosamine-6-phosphate deacetylase
I6J55_RS00275		hypothetical protein
I6J55_RS00280		
I6J55_RS00285		
I6J55_RS00290		
I6J55_RS00295		
I6J55_RS00300	rrf	
I6J55_RS00305		V-type ATP synthase subunit E family protein
I6J55_RS00310		DUF2764 domain-containing protein
I6J55_RS00315		V-type ATP synthase subunit A
I6J55_RS00320		V-type ATP synthase subunit B
I6J55_RS00325		V-type ATP synthase subunit D
I6J55_RS00330		V-type ATP synthase subunit I
I6J55_RS00335		V-type ATP synthase subunit K
I6J55_RS00340		glycosyltransferase
I6J55_RS00345		glycosyltransferase family 1 protein
I6J55_RS00350		hypothetical protein
I6J55_RS00355		TlpA disulfide reductase family protein
I6J55_RS00360	potA	polyamine ABC transporter ATP-binding protein
I6J55_RS00365		ABC transporter permease
I6J55_RS00370		ABC transporter permease
I6J55_RS00375		ABC transporter substrate-binding protein
I6J55_RS00380		RNA recognition motif domain-containing protein
I6J55_RS00385		6-bladed beta-propeller
I6J55_RS00390		DUF4891 domain-containing protein
I6J55_RS00395		30S ribosomal protein S16
I6J55_RS00400		DUF4469 domain-containing protein
I6J55_RS00405		transcriptional regulator
I6J55_RS00410		Na+/H+ antiporter NhaC family protein
I6J55_RS00415		RtcB family protein
I6J55_RS00420	prfH	peptide chain release factor H
I6J55_RS00425		RNA ligase family protein
I6J55_RS00430		AAA family ATPase
I6J55_RS00435		ATP-binding protein
I6J55_RS00440		winged helix-turn-helix transcriptional regulator
I6J55_RS00445		GNAT family N-acetyltransferase
I6J55_RS00450		LacI family DNA-binding transcriptional regulator
I6J55_RS00455		sugar kinase
I6J55_RS00460		bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
I6J55_RS00465		threonine/serine exporter family protein
I6J55_RS00470		threonine/serine exporter family protein
I6J55_RS00475		hypothetical protein
I6J55_RS00480		ribonucleotide-diphosphate reductase subunit beta
I6J55_RS00485		ribonucleoside-diphosphate reductase subunit alpha
I6J55_RS00490		DUF2149 domain-containing protein
I6J55_RS00495		MotA/TolQ/ExbB proton channel family protein
I6J55_RS00500		hypothetical protein
I6J55_RS00505		cobaltochelatase subunit CobN
I6J55_RS00510		TonB-dependent receptor
I6J55_RS00515		HmuY family protein
I6J55_RS00520		calycin-like domain-containing protein
I6J55_RS00525		MAC/perforin domain-containing protein
I6J55_RS00530		DUF6686 family protein
I6J55_RS00535		cation diffusion facilitator family transporter
I6J55_RS00540		aspartate:alanine exchanger family transporter
I6J55_RS00545		HlyD family secretion protein
I6J55_RS00550		DHA2 family efflux MFS transporter permease subunit
I6J55_RS00555		DUF418 domain-containing protein
I6J55_RS00560		hypothetical protein
I6J55_RS00565		TonB-dependent receptor
I6J55_RS00570		uroporphyrinogen decarboxylase/cobalamine-independent methonine synthase family protein
I6J55_RS00575		cytochrome-c peroxidase
I6J55_RS00580	trxA	thioredoxin
I6J55_RS00585		TQO small subunit DoxD
I6J55_RS00590		DUF6132 family protein
I6J55_RS00595		DUF2023 family protein
I6J55_RS00600	fldA	flavodoxin FldA
I6J55_RS00605		phosphoribosylaminoimidazolecarboxamide formyltransferase
I6J55_RS00610		hemerythrin domain-containing protein
I6J55_RS00615		helix-turn-helix transcriptional regulator
I6J55_RS00620		acyltransferase
I6J55_RS00625		glycosyltransferase family protein
I6J55_RS00630		sugar transferase
I6J55_RS00635		response regulator
I6J55_RS00640		LruC domain-containing protein
I6J55_RS00645		asparaginase
I6J55_RS00650	trpA	tryptophan synthase subunit alpha
I6J55_RS00655		phosphoribosylanthranilate isomerase
I6J55_RS00660	trpC	indole-3-glycerol phosphate synthase TrpC
I6J55_RS00665	trpD	anthranilate phosphoribosyltransferase
I6J55_RS00670		anthranilate synthase component II
I6J55_RS00675		anthranilate synthase component I family protein
I6J55_RS00680	trpB	tryptophan synthase subunit beta
I6J55_RS21925		hypothetical protein
I6J55_RS00685		iron-containing alcohol dehydrogenase
I6J55_RS00690		Ppx/GppA family phosphatase
I6J55_RS00695		RNA degradosome polyphosphate kinase
I6J55_RS00700		HdeD family acid-resistance protein
I6J55_RS00705		LL-diaminopimelate aminotransferase
I6J55_RS00710	dapF	diaminopimelate epimerase
I6J55_RS00715		outer membrane beta-barrel protein
I6J55_RS00720		retroviral-like aspartic protease family protein
I6J55_RS00725		glycerophosphodiester phosphodiesterase family protein
I6J55_RS00730	asnB	asparagine synthase B
I6J55_RS00735		hypothetical protein
I6J55_RS22015		hypothetical protein
I6J55_RS00745		amidophosphoribosyltransferase
I6J55_RS00750	carA	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
I6J55_RS00755	carB	carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit
I6J55_RS00760		thioredoxin family protein
I6J55_RS00765		helix-turn-helix transcriptional regulator
I6J55_RS00770		6-bladed beta-propeller
I6J55_RS00775		TolC family protein
I6J55_RS00780		HlyD family secretion protein
I6J55_RS00785		ATP-binding cassette domain-containing protein
I6J55_RS00790		ABC transporter permease
I6J55_RS00795		ABC transporter permease
I6J55_RS00800		hybrid sensor histidine kinase/response regulator
I6J55_RS00805		Hsp20/alpha crystallin family protein
I6J55_RS00810		alanyl-tRNA editing protein
I6J55_RS00815		transglutaminase-like domain-containing protein
I6J55_RS00820		SanA/YdcF family protein
I6J55_RS00825	uvrB	excinuclease ABC subunit UvrB
I6J55_RS00830		phenylacetate--CoA ligase family protein
I6J55_RS00835		hypothetical protein
I6J55_RS00840		outer membrane protein assembly factor BamD
I6J55_RS00845		DNA-directed RNA polymerase subunit omega
I6J55_RS00850		DUF4293 domain-containing protein
I6J55_RS00855		porin family protein
I6J55_RS00860		LysM peptidoglycan-binding domain-containing protein
I6J55_RS00865	uvrA	excinuclease ABC subunit UvrA
I6J55_RS00870	ybaK	Cys-tRNA(Pro) deacylase
I6J55_RS00875		peptide MFS transporter
I6J55_RS00880		GNAT family N-acetyltransferase
I6J55_RS00885		PadR family transcriptional regulator
I6J55_RS00890		PspC domain-containing protein
I6J55_RS00895		MBL fold metallo-hydrolase
I6J55_RS00900		dipeptidyl-peptidase 5
I6J55_RS00905		MATE family efflux transporter
I6J55_RS00910	yidC	membrane protein insertase YidC
I6J55_RS00915		CTP synthase
I6J55_RS00920		DUF3078 domain-containing protein
I6J55_RS00925		hypothetical protein
I6J55_RS00930		SoxR reducing system RseC family protein
I6J55_RS00935		Fe-S cluster domain-containing protein
I6J55_RS00940	rsxC	electron transport complex subunit RsxC
I6J55_RS00945		RnfABCDGE type electron transport complex subunit D
I6J55_RS00950		RnfABCDGE type electron transport complex subunit G
I6J55_RS00955	rsxE	electron transport complex subunit RsxE
I6J55_RS00960	rsxA	electron transport complex subunit RsxA
I6J55_RS00965	galE	UDP-glucose 4-epimerase GalE
I6J55_RS00970		DUF4934 domain-containing protein
I6J55_RS00975		DUF4934 domain-containing protein
I6J55_RS00980	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
I6J55_RS00985	dnaB	replicative DNA helicase
I6J55_RS00990		L-rhamnose mutarotase
I6J55_RS00995		bifunctional fucokinase/fucose-1-phosphate guanylyltransferase
I6J55_RS01000	upeY	capsular polysaccharide transcription antiterminator UpeY
I6J55_RS01005		UpxZ family transcription anti-terminator antagonist
I6J55_RS01010	rfbA	glucose-1-phosphate thymidylyltransferase RfbA
I6J55_RS01015	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase
I6J55_RS01020	rfbH	lipopolysaccharide biosynthesis protein RfbH
I6J55_RS01025	rfbF	glucose-1-phosphate cytidylyltransferase
I6J55_RS01030	rfbG	CDP-glucose 4,6-dehydratase
I6J55_RS01035		NAD-dependent epimerase/dehydratase family protein
I6J55_RS01040		glycosyltransferase family 2 protein
I6J55_RS01045		lipopolysaccharide biosynthesis protein
I6J55_RS01050		alpha-1,2-fucosyltransferase
I6J55_RS01055		glycosyltransferase family protein
I6J55_RS01060		EpsG family protein
I6J55_RS01065		glycosyltransferase family protein
I6J55_RS01070		glycosyltransferase family 4 protein
I6J55_RS01075		glycosyltransferase family 2 protein
I6J55_RS01080		NAD-dependent epimerase/dehydratase family protein
I6J55_RS01085		MraY family glycosyltransferase
I6J55_RS01090	pheT	phenylalanine--tRNA ligase subunit beta
I6J55_RS01095		YebC/PmpR family DNA-binding transcriptional regulator
I6J55_RS01100		TIGR03905 family TSCPD domain-containing protein
I6J55_RS01105		hypothetical protein
I6J55_RS01110		Nramp family divalent metal transporter
I6J55_RS01115		exodeoxyribonuclease III
I6J55_RS01120		secondary thiamine-phosphate synthase enzyme YjbQ
I6J55_RS01125		C-GCAxxG-C-C family protein
I6J55_RS01130		winged helix-turn-helix domain-containing protein
I6J55_RS01135	lepA	translation elongation factor 4
I6J55_RS01140		cation:proton antiporter
I6J55_RS01145	nhaA	Na+/H+ antiporter NhaA
I6J55_RS01150		DUF169 domain-containing protein
I6J55_RS01155		DNA recombination protein RmuC
I6J55_RS01160	map	type I methionyl aminopeptidase
I6J55_RS01165	cas6	CRISPR-associated endoribonuclease Cas6
I6J55_RS01170		hypothetical protein
I6J55_RS01175		CRISPR-associated helicase/endonuclease Cas3
I6J55_RS01180		hypothetical protein
I6J55_RS01185		hypothetical protein
I6J55_RS01190	cas4	CRISPR-associated protein Cas4
I6J55_RS01195	cas1b	type I-B CRISPR-associated endonuclease Cas1b
I6J55_RS01200	cas2	CRISPR-associated endonuclease Cas2
I6J55_RS01205		hypothetical protein
I6J55_RS01210		hypothetical protein
I6J55_RS01215		RluA family pseudouridine synthase
I6J55_RS01220	rlmD	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
I6J55_RS01225	ppdK	pyruvate, phosphate dikinase
I6J55_RS01230		porin family protein
I6J55_RS01235		outer membrane beta-barrel protein
I6J55_RS01240		thiamine phosphate synthase
I6J55_RS01245		HesA/MoeB/ThiF family protein
I6J55_RS01250	thiH	2-iminoacetate synthase ThiH
I6J55_RS01255		hypothetical protein
I6J55_RS01260	thiC	phosphomethylpyrimidine synthase ThiC
I6J55_RS01265		thiazole synthase
I6J55_RS01270		thiamine phosphate synthase
I6J55_RS01275	thiS	sulfur carrier protein ThiS
I6J55_RS01280		superoxide dismutase
I6J55_RS01285		ATP-dependent helicase
I6J55_RS01290	nspC	carboxynorspermidine decarboxylase
I6J55_RS01295		
I6J55_RS01300		
I6J55_RS01305		
I6J55_RS01310		
I6J55_RS01315		
I6J55_RS01320		
I6J55_RS01325		type II toxin-antitoxin system RelE/ParE family toxin
I6J55_RS01330		helix-turn-helix domain-containing protein
I6J55_RS01335		N-acetylmuramoyl-L-alanine amidase
I6J55_RS01340		HU family DNA-binding protein
I6J55_RS01345		Rpn family recombination-promoting nuclease/putative transposase
I6J55_RS01350	dnaB	replicative DNA helicase
I6J55_RS01355		hypothetical protein
I6J55_RS01360		DUF4248 domain-containing protein
I6J55_RS01365		PD-(D/E)XK nuclease domain-containing protein
I6J55_RS01370		SNF7 family protein
I6J55_RS01375		Tsr25 family tyrosine-type DNA invertase
I6J55_RS01380		phage integrase SAM-like domain-containing protein
I6J55_RS21650		site-specific integrase
I6J55_RS01385		DUF4465 domain-containing protein
I6J55_RS01390		PKD-like domain-containing protein
I6J55_RS01395		receptor L domain-containing protein
I6J55_RS01400		YncE family protein
I6J55_RS01405		TonB-dependent receptor plug domain-containing protein
I6J55_RS01410		ABC transporter substrate-binding protein
I6J55_RS01415		FecCD family ABC transporter permease
I6J55_RS01420		ABC transporter ATP-binding protein
I6J55_RS01425		DUF2284 domain-containing protein
I6J55_RS01430		hypothetical protein
I6J55_RS01435		DUF3408 domain-containing protein
I6J55_RS01440		DUF3408 domain-containing protein
I6J55_RS01445		ParA family protein
I6J55_RS01450		hypothetical protein
I6J55_RS01455		carboxypeptidase-like regulatory domain-containing protein
I6J55_RS01460		TonB-dependent receptor
I6J55_RS01465		DUF4876 domain-containing protein
I6J55_RS01470		DUF6850 family outer membrane beta-barrel protein
I6J55_RS01475		HEAT repeat domain-containing protein
I6J55_RS01480		HEAT repeat domain-containing protein
I6J55_RS01485		hypothetical protein
I6J55_RS01490		transposase
I6J55_RS01495		transposase
I6J55_RS01500		type IIG restriction enzyme/methyltransferase
I6J55_RS01505		helix-turn-helix domain-containing protein
I6J55_RS01510		helix-turn-helix domain-containing protein
I6J55_RS01515		site-specific integrase
I6J55_RS01520		site-specific integrase
I6J55_RS21655		Tsr25 family tyrosine-type DNA invertase
I6J55_RS01530		hypothetical protein
I6J55_RS01535		DUF3575 domain-containing protein
I6J55_RS01540		fimbrillin family protein
I6J55_RS01545		fimbrillin family protein
I6J55_RS01550		fimbrillin family protein
I6J55_RS01555		fimbrillin family protein
I6J55_RS01560		fimbrillin family protein
I6J55_RS01565		fimbrillin family protein
I6J55_RS01570		fimbrillin family protein
I6J55_RS01575		fimbrillin family protein
I6J55_RS01580		fimbrillin family protein
I6J55_RS01585		DUF4906 domain-containing protein
I6J55_RS01590		DUF4906 domain-containing protein
I6J55_RS01595		DUF4906 domain-containing protein
I6J55_RS01600		ATP-binding protein
I6J55_RS01605		hypothetical protein
I6J55_RS01610		DUF4906 domain-containing protein
I6J55_RS01615		hexokinase family protein
I6J55_RS01620		hypothetical protein
I6J55_RS01625	cbiD	cobalt-precorrin-5B (C(1))-methyltransferase CbiD
I6J55_RS01630	cobM	precorrin-4 C(11)-methyltransferase
I6J55_RS01635		bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase
I6J55_RS01640	cobJ	precorrin-3B C(17)-methyltransferase
I6J55_RS01645		DUF2149 domain-containing protein
I6J55_RS01650		MotA/TolQ/ExbB proton channel family protein
I6J55_RS01655		hypothetical protein
I6J55_RS01660		cobaltochelatase subunit CobN
I6J55_RS01665		PepSY-associated TM helix domain-containing protein
I6J55_RS01670		TonB-dependent receptor
I6J55_RS01675		sirohydrochlorin cobaltochelatase
I6J55_RS01680		TonB-dependent receptor plug domain-containing protein
I6J55_RS01685		cysteine-rich CWC family protein
I6J55_RS01690		putative transporter
I6J55_RS01695		threonine/serine exporter family protein
I6J55_RS01700		threonine/serine exporter family protein
I6J55_RS01705		DUF6064 family protein
I6J55_RS01710		cobyrinate a,c-diamide synthase
I6J55_RS01715		cob(I)yrinic acid a,c-diamide adenosyltransferase
I6J55_RS01720		sensor histidine kinase
I6J55_RS01725		ABC transporter permease
I6J55_RS01730		ABC transporter permease
I6J55_RS01735		HlyD family secretion protein
I6J55_RS01740		TolC family protein
I6J55_RS01745		type II toxin-antitoxin system RelE/ParE family toxin
I6J55_RS01750		hypothetical protein
I6J55_RS01755		hypothetical protein
I6J55_RS01760		cobyric acid synthase
I6J55_RS01765	cobD	threonine-phosphate decarboxylase CobD
I6J55_RS01770	cbiB	adenosylcobinamide-phosphate synthase CbiB
I6J55_RS01775	cobC	alpha-ribazole phosphatase
I6J55_RS01780	cobS	adenosylcobinamide-GDP ribazoletransferase
I6J55_RS01785	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
I6J55_RS01790	cobU	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
I6J55_RS01795		
I6J55_RS01800		S41 family peptidase
I6J55_RS01805		TIGR02757 family protein
I6J55_RS01810	proS	proline--tRNA ligase
I6J55_RS01815		YccF domain-containing protein
I6J55_RS01820		translocation/assembly module TamB domain-containing protein
I6J55_RS01825	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
I6J55_RS01830		CinA family nicotinamide mononucleotide deamidase-related protein
I6J55_RS01835	rpmB	50S ribosomal protein L28
I6J55_RS01840	rpmG	50S ribosomal protein L33
I6J55_RS01845		DUF4295 domain-containing protein
I6J55_RS01850	ftsY	signal recognition particle-docking protein FtsY
I6J55_RS01855	rimO	30S ribosomal protein S12 methylthiotransferase RimO
I6J55_RS01860		HU family DNA-binding protein
I6J55_RS01865		HU family DNA-binding protein
I6J55_RS01870		AAA family ATPase
I6J55_RS01875		DUF58 domain-containing protein
I6J55_RS01880		hypothetical protein
I6J55_RS01885		vWA domain-containing protein
I6J55_RS01890		VWA domain-containing protein
I6J55_RS01895		tetratricopeptide repeat protein
I6J55_RS01900		BatD family protein
I6J55_RS01905		tetratricopeptide repeat protein
I6J55_RS01910		hypothetical protein
I6J55_RS01915		universal stress protein
I6J55_RS01920		tetratricopeptide repeat protein
I6J55_RS01925	gyrA	DNA gyrase subunit A
I6J55_RS01930		ATP-dependent Clp protease ATP-binding subunit
I6J55_RS01935	htpG	molecular chaperone HtpG
I6J55_RS01940		patatin-like phospholipase family protein
I6J55_RS01945		
I6J55_RS01950		
I6J55_RS01955		
I6J55_RS01960		formylglycine-generating enzyme family protein
I6J55_RS01965		MmcQ/YjbR family DNA-binding protein
I6J55_RS01970		chloramphenicol acetyltransferase
I6J55_RS01975	dapA	4-hydroxy-tetrahydrodipicolinate synthase
I6J55_RS01980	ligA	NAD-dependent DNA ligase LigA
I6J55_RS01985	trmD	tRNA (guanosine(37)-N1)-methyltransferase TrmD
I6J55_RS01990		dihydroorotate dehydrogenase
I6J55_RS01995		dihydroorotate dehydrogenase electron transfer subunit
I6J55_RS02000		helix-turn-helix domain-containing protein
I6J55_RS02005	holA	DNA polymerase III subunit delta
I6J55_RS02010		AMP nucleosidase
I6J55_RS02015		type I restriction enzyme HsdR N-terminal domain-containing protein
I6J55_RS02020		efflux RND transporter permease subunit
I6J55_RS02025		efflux RND transporter periplasmic adaptor subunit
I6J55_RS02030		efflux transporter outer membrane subunit
I6J55_RS02035		zinc ribbon domain-containing protein
I6J55_RS02040		Nif3-like dinuclear metal center hexameric protein
I6J55_RS02045		DUF4891 domain-containing protein
I6J55_RS02050		VOC family protein
I6J55_RS02055		hypothetical protein
I6J55_RS02060		ABC transporter permease
I6J55_RS02065		ABC transporter ATP-binding protein
I6J55_RS02070		ferredoxin domain-containing protein
I6J55_RS02075		agmatine deiminase family protein
I6J55_RS02080		carbon-nitrogen hydrolase
I6J55_RS02085		GtrA family protein
I6J55_RS02090	aspS	aspartate--tRNA ligase
I6J55_RS02095		diacylglycerol/lipid kinase family protein
I6J55_RS02100	spt	serine palmitoyltransferase
I6J55_RS02105		hypothetical protein
I6J55_RS02110		ABC transporter ATP-binding protein
I6J55_RS02115		ABC transporter permease
I6J55_RS02120		ABC transporter permease
I6J55_RS02125		ABC transporter permease
I6J55_RS02130		ABC transporter permease
I6J55_RS02135		ABC transporter permease
I6J55_RS02140		ABC transporter permease
I6J55_RS02145		efflux RND transporter periplasmic adaptor subunit
I6J55_RS02150		TolC family protein
I6J55_RS02155		sigma-54-dependent transcriptional regulator
I6J55_RS02160		sensor histidine kinase
I6J55_RS02165		hypothetical protein
I6J55_RS02170		DUF1622 domain-containing protein
I6J55_RS02175		hypothetical protein
I6J55_RS02180		hypothetical protein
I6J55_RS02185		
I6J55_RS02190		
I6J55_RS02195		site-specific integrase
I6J55_RS02200		hypothetical protein
I6J55_RS02205		hypothetical protein
I6J55_RS02210		BACON domain-containing protein
I6J55_RS02215		BACON domain-containing protein
I6J55_RS02220		hypothetical protein
I6J55_RS02225		hypothetical protein
I6J55_RS22105		hypothetical protein
I6J55_RS02235		hypothetical protein
I6J55_RS02240		hypothetical protein
I6J55_RS02245		D-Ala-D-Ala carboxypeptidase family metallohydrolase
I6J55_RS02250		hypothetical protein
I6J55_RS02255		DUF6712 family protein
I6J55_RS21860		hypothetical protein
I6J55_RS02260		hypothetical protein
I6J55_RS02265		hypothetical protein
I6J55_RS02270		hypothetical protein
I6J55_RS02275		putative periplasmic lipoprotein
I6J55_RS02280		phage holin family protein
I6J55_RS02285		hypothetical protein
I6J55_RS02290		hypothetical protein
I6J55_RS02295		hypothetical protein
I6J55_RS02300		hypothetical protein
I6J55_RS02305		hypothetical protein
I6J55_RS02310		hypothetical protein
I6J55_RS02315		S49 family peptidase
I6J55_RS02320		hypothetical protein
I6J55_RS02325		hypothetical protein
I6J55_RS02330		DUF6633 family protein
I6J55_RS02335		helix-turn-helix domain-containing protein
I6J55_RS02340		hypothetical protein
I6J55_RS02345		hypothetical protein
I6J55_RS02350		DNA methyltransferase family protein
I6J55_RS02355		tyrosine-type recombinase/integrase
I6J55_RS02360		hypothetical protein
I6J55_RS02365		hypothetical protein
I6J55_RS02370		hypothetical protein
I6J55_RS02375		TRM11 family methyltransferase
I6J55_RS21670		DNA N-6-adenine-methyltransferase
I6J55_RS02390		hypothetical protein
I6J55_RS02395		DUF4494 domain-containing protein
I6J55_RS02400		hypothetical protein
I6J55_RS02405		hypothetical protein
I6J55_RS02410		Cof-type HAD-IIB family hydrolase
I6J55_RS02415		hypothetical protein
I6J55_RS02420		hypothetical protein
I6J55_RS02425		hypothetical protein
I6J55_RS02430		helix-turn-helix domain-containing protein
I6J55_RS02435		hypothetical protein
I6J55_RS02440		hypothetical protein
I6J55_RS02445		hypothetical protein
I6J55_RS02450		ORF6N domain-containing protein
I6J55_RS02455		hypothetical protein
I6J55_RS02460		hypothetical protein
I6J55_RS21675		ORF6N domain-containing protein
I6J55_RS02465		hypothetical protein
I6J55_RS02470		HIRAN domain-containing protein
I6J55_RS02475		tRNA1(Val) (adenine(37)-N6)-methyltransferase
I6J55_RS02480	lon	endopeptidase La
I6J55_RS02485	tgt	tRNA guanosine(34) transglycosylase Tgt
I6J55_RS02490		LptF/LptG family permease
I6J55_RS02495		thioredoxin family protein
I6J55_RS02500	serB	phosphoserine phosphatase SerB
I6J55_RS02505		DEAD/DEAH box helicase
I6J55_RS02510		DUF4738 domain-containing protein
I6J55_RS02515		UDP-glucose dehydrogenase family protein
I6J55_RS02520	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase
I6J55_RS02525		HU domain-containing protein
I6J55_RS02530		FHA domain-containing protein
I6J55_RS02535	uxaC	glucuronate isomerase
I6J55_RS02540		MFS transporter
I6J55_RS02545		MBL fold metallo-hydrolase
I6J55_RS02550		
I6J55_RS02555		MFS transporter
I6J55_RS02560		OprO/OprP family phosphate-selective porin
I6J55_RS02565		
I6J55_RS02570		hypothetical protein
I6J55_RS02575		DoxX family protein
I6J55_RS02580		DUF3332 domain-containing protein
I6J55_RS02585	tamL	translocation and assembly module lipoprotein TamL
I6J55_RS02590		energy transducer TonB
I6J55_RS02595		TrmH family RNA methyltransferase
I6J55_RS21930		hypothetical protein
I6J55_RS02600		DUF4296 domain-containing protein
I6J55_RS02605		lipoprotein signal peptidase
I6J55_RS02610		TraR/DksA family transcriptional regulator
I6J55_RS02615	ileS	isoleucine--tRNA ligase
I6J55_RS02620		DUF2776 domain-containing protein
I6J55_RS02625		S41 family peptidase
I6J55_RS02630		cytochrome c biogenesis protein ResB
I6J55_RS02635	ccsA	cytochrome c biogenesis protein CcsA
I6J55_RS02640		cytochrome-c peroxidase
I6J55_RS02645		RNA recognition motif domain-containing protein
I6J55_RS02650		peroxiredoxin
I6J55_RS02655		carbon-nitrogen hydrolase family protein
I6J55_RS02660		nucleotide pyrophosphatase/phosphodiesterase family protein
I6J55_RS02665	xylE	D-xylose transporter XylE
I6J55_RS02670	xylA	xylose isomerase
I6J55_RS02675		xylulokinase
I6J55_RS02680		NUDIX hydrolase
I6J55_RS02685	thiD	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
I6J55_RS02690	fabD	ACP S-malonyltransferase
I6J55_RS02695	sucC	ADP-forming succinate--CoA ligase subunit beta
I6J55_RS02700	sucD	succinate--CoA ligase subunit alpha
I6J55_RS02705		hypothetical protein
I6J55_RS02710		winged helix-turn-helix domain-containing protein
I6J55_RS02715		phosphatase PAP2 family protein
I6J55_RS02720		SDR family NAD(P)-dependent oxidoreductase
I6J55_RS02725		Crp/Fnr family transcriptional regulator
I6J55_RS02730		glutamine synthetase family protein
I6J55_RS02735		MFS transporter
I6J55_RS02740		patatin-like phospholipase family protein
I6J55_RS02745		Gfo/Idh/MocA family oxidoreductase
I6J55_RS02750		alpha-amylase family glycosyl hydrolase
I6J55_RS02755		alpha amylase C-terminal domain-containing protein
I6J55_RS02760		DUF2461 domain-containing protein
I6J55_RS02765		aminotransferase class IV family protein
I6J55_RS02770		aminodeoxychorismate synthase component I
I6J55_RS02775		hypothetical protein
I6J55_RS02780		transposase
I6J55_RS02785		helix-turn-helix domain-containing protein
I6J55_RS02790		hypothetical protein
I6J55_RS02795		response regulator transcription factor
I6J55_RS02800		hypothetical protein
I6J55_RS02805		hypothetical protein
I6J55_RS02810		hypothetical protein
I6J55_RS02815		hypothetical protein
I6J55_RS02820		hypothetical protein
I6J55_RS02825		hypothetical protein
I6J55_RS02830		hypothetical protein
I6J55_RS02835		hypothetical protein
I6J55_RS02840		primase-helicase family protein
I6J55_RS02845		single-stranded DNA-binding protein
I6J55_RS02850		hypothetical protein
I6J55_RS02855		hypothetical protein
I6J55_RS02860		hypothetical protein
I6J55_RS02865		hypothetical protein
I6J55_RS02870		coiled-coil domain-containing protein
I6J55_RS02875		carboxypeptidase-like regulatory domain-containing protein
I6J55_RS02880		hypothetical protein
I6J55_RS02885		hypothetical protein
