feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La74	38.4037381505	23.1999054264	0	74.6054306803	15.9162871291	40.6178118184	33.8425451945	13.7074628412	0	0	26.138181767	93.3930813766	51.5461445676	0	30.9798534695	71.206041715	37.7554917767	0	74.789164737	18.5299808975	49.3384206702	29.1265515844	84.082061492	14.6693335679	40.205105761
La75	351.6168163289	32.7163262622	80.669815781	144.0312231668	38.8838016767	49.5240234469	101.1960638472	0	15.844748364	0	32.815906594	626.5685764534	438.2288223656	7.6203671631	167.3384299219	258.8704182926	72.1062018088	432.4143893293	159.5501454745	0	905.1335705555	50.694706259	105.0539178554	0	171.8377084775
La76	840.6587636895	82.7898550429	796.8237240507	302.1946716718	228.0666224047	87.9588819113	417.6490369711	0	0	29.9071758169	76.176188802	900.6210516021	1128.252526843	13.3680512373	373.4507086993	483.2559164458	281.647956712	107.6387321575	351.0423000364	42.3251148176	1342.1635636583	348.2478435374	763.4199550024	195.3606933233	515.0517233873
La78	51.0320710699	9.4414392166	0	0	0	0	9.6863029478	14.9147678258	0	0	7.1595938459	11.2835626636	69.9963142229	0	0	0	17.603373731	17.8730913907	50.5100956726	0	29.2070901663	0	53.5010498421	0	19.7555228775
La79	46.3821918385	11.5640115046	0	56.3079186404	0	0	20.5537227567	0	0	0	15.5800191767	8.5210122338	81.3723218159	0	0	55.0610361448	0	10.6349120932	22.1268254009	26.6189634572	21.5914852787	13.4139503939	29.593610127	0	33.7086699232
La80	240.2088652483	32.4193046112	134.8585146213	120.0046580373	38.0616352639	16.8114035218	124.6357206233	0	4.8735512175	0	0	128.509925156	334.9800592626	10.8822778292	91.5367405686	137.2301777654	79.205494369	32.4691941089	93.7717092211	0	84.1894729105	136.2908687189	433.6143410756	74.7090871795	121.2883276943
La81	0	0	0	0	0	0	0	0	0	0	0	0	12.3469938792	0	0	0	0	0	15.9500074938	0	0	0	15.2632139994	0	0
La82	40.6023455768	6.978294066	0	0	0	0	12.5852452096	0	0	0	16.2822097497	9.1403529147	55.862616179	0	0	17.930980454	9.0265075144	0	36.5131509695	0	0	0	22.2542793174	0	0
La83	200.9333275415	32.3850156956	35.48011874	94.9344917585	39.1889261856	0	97.7342657767	0	0	0	15.3465943491	132.2319075498	219.7717818346	11.3160555309	9.29471266	135.5748143116	26.5641963358	0	86.9049292315	0	9.6279670186	39.8677277376	393.7768260582	30.7296332895	114.9019425252
La84	54.2036421831	12.1668189426	16.6567678033	20.0513564597	0	0	21.3801819843	0	0	0	6.9802700888	59.9101942643	77.2157325462	0	0	56.9969801304	16.9153598744	0	26.1917063211	17.7450056426	0	19.3555700432	43.6816877022	0	35.8721786366
La85	436.8917730905	68.8268182672	70.5658989108	173.1890236751	0	22.8604433163	53.3796921209	82.3025817909	0	20.8420904131	56.368318097	281.9013480588	492.7331139578	34.9791509697	54.6410665593	185.703904906	87.8889107344	14.774185229	151.7204880274	0	37.4429259876	45.297227907	327.2617794798	0	269.4013640934
La86	68.8046696942	22.1571931651	55.2795126	56.6490373798	0	30.7998072828	10.4869098887	31.7225069711	0	0	22.8305565642	40.5846934657	83.1952703366	0	0	53.809203813	39.2958964236	31.6663098133	126.4230077372	0	7.7405218077	0	182.7570524584	0	18.7267798153
La87	22.1564904318	0	5.9559760239	0	0	0	8.2351068741	11.7487377165	0	0	0	0	24.5553645655	0	0	0	8.6230829902	16.4303107695	0	0	0	0	28.4866220383	0	0
La88	44.6298938849	0	35.3499168721	0	0	0	18.4094373106	0	0	0	0	23.803838578	68.4316130866	0	0	18.9173108567	16.4261830924	0	9.3236472691	0	0	0	33.1953769446	0	0
La90	0	0	14.1594822612	0	0	0	16.5691757307	0	0	0	0	12.1685634996	0	0	0	0	12.4803847618	0	25.8424692254	14.6942262724	0	0	95.178473776	0	0
La91	8.5147413376	0	0	18.7373151321	0	22.1647963331	18.7507060413	0	0	0	0	17.663438206	43.0045937123	0	11.8978064312	17.0246990894	0	0	17.2460332654	0	0	0	25.0702770969	0	0
La92	41.0659173963	0	0	32.1345983035	0	9.1167437627	14.5533099208	0	0	0	0	10.3915697945	66.6540421782	20.700538085	0	24.287915061	11.4787497277	0	0	0	0	0	15.4303508103	0	51.7294880066
La93	0	0	0	0	0	0	9.226428925	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0565445516	0	75.8386394764	0	6.8157378832
La94	37.0936254593	16.4121715171	9.8709444382	12.3256230993	20.0001870925	0	26.805197148	15.2124442538	0	17.9590862408	0	41.7414784308	58.7113454234	0	0	11.5529384524	17.3323207783	0	0	0	30.0725277405	0	18.0871543577	0	0
La95	0	0	0	0	0	15.3238431488	22.0314133814	0	5.1758023452	0	0	15.6192703626	0	0	0	0	19.2101576422	0	19.6160970447	0	24.3923280879	0	40.0870341947	0	24.6877078198
La96	4329.4672485654	1785.830337637	1389.7188104532	6995.0141839501	1589.8570546798	639.7428637227	4006.4932511101	0	478.1524166453	0	682.6576862619	6202.1052508863	8652.7591190553	10.3203770143	397.9463042837	6204.3208623442	4329.4524392656	654.2816179076	3664.232417513	278.9577007496	2303.3759157769	1163.4067285712	5504.4793552837	1260.4763700966	3040.303927482
La97	512.7916716438	99.2649332433	110.4572528419	257.62243205	80.8127773794	65.2488848125	317.1007420321	0	16.8470083782	0	30.8779018426	145.3057922082	593.3689847985	0	74.6098908262	311.1856777595	58.7682919195	216.0532213425	165.7463713742	0	231.8712504019	113.321247929	506.2124041961	0	264.468978999
La99	245.3740564623	59.2176052981	43.0835016132	107.6897657284	70.7453564376	20.3810359641	172.1148144626	13.1348061311	39.3109947986	0	0	302.7557729164	355.9044012279	0	59.2390309886	111.3785688698	96.267202834	16.9978925276	89.6362802628	0	123.9467878679	78.7549427109	170.2042371014	19.0320759408	88.3708809922
La100	32.0911777102	24.8723743739	151.0587845495	113.4398438524	26.2319725714	53.9703581758	96.7113501753	15.3941403199	0	20.312023269	0	145.5471294322	226.347243475	0	42.3985275088	88.4404844152	34.2575885955	37.1026723593	111.7481514596	0	45.2514183171	0	290.1206219003	0	81.5691693243
La101	54.7003877356	17.2799757411	31.0856348111	42.2638749451	0	0	0	0	0	0	10.1586464879	50.4549496165	83.8936090704	0	0	41.9260451643	12.8948605207	0	48.5215212121	0	0	0	11.1003247998	0	19.9927627607
La102	0	0	0	46.1085533257	0	0	0	0	0	0	0	0	67.8625245112	0	0	43.5471352679	13.3754134576	0	10.1043975822	0	0	0	11.3537439407	0	0
La103	322.7556085682	51.998973118	31.997938929	144.2389087305	79.4299117154	7.1297007355	197.9676265346	0	0	0	0	495.8997536377	425.9669477904	0	19.7699957401	130.5538210967	23.3415524077	43.3761434292	117.1727269184	0	367.3195504982	87.1218267301	109.04743786	0	149.574256524
La104	34.411098429	0	0	0	0	0	10.1998053544	12.6125173057	0	0	0	108.4225600772	41.5219889429	0	0	26.6469228752	30.0754341784	42.7995621782	27.702450741	0	84.5319426321	0	9.8040993622	0	25.6007427215
La105	76.5130045188	0	0	263.5703538936	216.5955553632	167.846861956	189.3140222574	0	0	0	0	254.4071064473	194.4641332548	93.5553398413	0	265.046090748	19.6794180331	75.6837958007	189.1162308492	0	18.7756860495	125.0663561549	429.7715829482	0	308.1387184245
La106	5530.3120227437	1068.4416978446	624.7684704745	4042.1091205986	177.1501506643	570.7655289555	3638.4493638506	0	334.5532862486	0	16.7028819698	2426.5378403653	6516.9741928915	272.6035402873	116.9377982837	4607.2601225579	1129.6930520441	3846.9589813979	1527.1930381494	2252.38623249	1292.3689463065	760.3758305162	4350.0409659789	523.5559239938	3747.195835981
La107	154.5076897136	127.8812303929	62.3057302196	174.4691059934	0	6.3679480451	119.9130499833	13.3648535855	0	6.8933713866	0	104.2882326073	353.3585396553	10.5947117443	38.3307434707	164.6074139956	32.1384334708	47.1600581295	73.5204483566	0	116.885182189	34.7515000921	379.7198101426	47.3709244138	76.604157717
La108	190.9388549729	86.2273295152	60.1436150182	175.6026616651	0	52.2850818979	63.8800247143	0	0	0	0	82.247844797	425.2870808257	19.9879911885	50.1216132102	145.3269564684	33.7104963598	25.2443956523	54.7613966701	0	126.0022632592	55.6024322463	279.1926530077	17.9999844069	87.9384750923
La109	184.1478734263	31.9268314235	31.71417152	81.9211545206	0	22.6668186019	69.4669184067	0	0	0	13.1995538998	124.7631112456	282.7609723692	0	11.1524999979	107.5890583648	0	25.8519354949	59.4644576649	0	149.7437891373	11.9164449652	124.944580288	0	58.0341614272
La110	3883.1015253042	703.0736225961	989.6549697116	2587.4177155859	1089.7167114322	441.9410003368	2155.3807785548	0	52.8456868442	0	26.1126324848	2282.5715795432	4931.3693012336	0	785.3654448564	2921.1510876553	1657.8850620314	168.8245979334	1563.145407685	0	2246.1006889712	998.5796969395	3445.6194455	1295.3247820686	1239.7923223778
La111	148.054600645	43.8085290161	29.8004061768	116.6804191622	57.6676792484	0	113.5700991931	19.8407565328	0	0	0	263.3108915314	203.6242522684	0	81.507421947	105.5098054258	91.4077951626	95.1182254507	143.7477941462	0	108.9164318707	73.6887226712	178.6003904311	16.7140017187	47.827844316
La112	618.9637356202	92.9688163082	207.5683572185	354.1809440874	182.0870793067	45.1927366344	627.0857327589	0	57.8667558356	0	32.9268665772	961.4127000364	855.248729179	0	179.1558544368	331.1141384661	251.0498212132	170.3496234057	263.0812998964	23.8822006868	520.2482611494	241.609060495	184.5577002318	103.9666392415	469.386300359
La113	0	0	0	0	0	0	32.7563740062	0	0	0	0	134.3521733258	23.6286431762	0	0	23.4148094953	21.4212937841	0	0	0	74.3287142099	17.5973386	22.8528922497	0	33.8862636304
La114	90.4906974222	16.1710831379	12.4387608129	35.8978456959	24.0915649026	0	57.4838922261	16.8412652102	0	0	0	169.3137868979	114.9563923958	0	0	35.8978456959	76.8888396332	15.0870222529	40.8142338629	0	67.8489074751	31.8628334675	72.3595331285	0	75.4910666675
La115	35.2892986491	20.405867785	6.0394044013	25.8575597974	14.7609043028	0	27.0639183268	0	0	17.1810446705	9.9965444458	17.022123852	48.4529967352	0	0	25.8575597974	31.8241635213	0	24.2931688762	0	0	0	43.7034270198	0	14.0351653996
La116	0	0	32.9237888447	24.9365650626	9.457473877	0	15.7103359641	0	0	0	0	20.3273172936	0	0	0	21.8910634868	10.8082975021	0	0	0	13.123149957	0	26.6578754133	0	40.159998752
La117	496.6118424954	88.7830548442	318.015835251	242.9035230274	0	24.8028695809	166.5425736347	18.3010901449	29.8923134761	42.2746788032	31.4485283233	330.0908173273	555.5433281573	69.705091889	0	229.334336557	118.5885849282	138.9822221954	85.5135385306	0	131.2293497515	77.9080906524	191.3335357138	49.8695130197	220.7057439711
La118	338.8804541502	64.9287762739	77.3001142248	230.2559404092	22.840978128	12.83406289	141.0133235056	0	12.1602544455	0	0	286.0731547477	360.5662613787	10.8947657695	0	242.3191098071	43.6351201446	88.7275458641	78.2756135085	0	140.1077184687	47.3144800809	137.4039878177	34.7391399836	268.1922774993
La119	30.3911343093	0	0	10.8523256951	0	35.7444696905	17.391081944	0	0	0	0	13.4295479311	66.5246724476	0	0	10.582442042	13.8007713826	0	41.9005391106	0	13.1218661912	0	34.9335831206	0	14.8131951215
La120	102.7434840299	11.9309649408	7.9860933166	0	25.1326593723	11.3442394554	76.3911832033	0	0	0	0	88.9915605203	134.7787201912	0	0	0	46.318242124	0	68.5396649617	0	97.0047804598	13.5526444309	72.6642968294	0	37.3030606571
La121	150.6235804424	21.8234125838	26.9895629695	40.345869152	0	11.3176192604	23.6887738261	14.8665415292	0	14.9394240447	14.8290880779	44.9152912522	175.8327238838	0	8.5762658234	41.4267331668	43.7743492972	34.5076833412	35.0754505274	0	8.9542022073	11.1799061564	60.9280120229	9.6096562578	54.6497617861
La122	200.0565470062	33.5185723962	74.7319907593	92.446036564	32.7143581833	25.9079556943	115.0562492683	31.6107376325	0	0	32.5861185793	105.8085192539	192.7069827513	14.4947911451	42.4221179036	140.1356744313	96.6298011683	0	46.6639321466	0	115.3377293472	42.3237036173	250.9648266952	23.7065820633	61.5643568202
La123	23.3357559452	0	12.8865491003	0	0	0	22.7151227401	0	0	0	0	14.009288254	28.9928323148	0	0	0	21.0580437539	0	40.3705717516	0	0	0	56.6840755573	0	0
La124	144.6475224004	16.2688101381	110.3900086854	49.9424399124	0	0	146.6062863506	0	8.7751740185	0	0	89.1120486015	187.5854416713	0	44.1254475247	68.8401979076	64.6028267162	11.6396190146	79.0581856983	0	61.7466586014	27.2517852042	187.9748998481	32.2943773126	23.9769260261
